game_id,school_id,school_name,inning,runs,source_url
G26SP006,S26SP018,智辯学園,1,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,2,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,3,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,4,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,5,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,6,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,7,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,8,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,S26SP018,智辯学園,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP007,S26SP021,東洋大姫路,1,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,2,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,3,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,4,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,5,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,6,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,7,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,8,1,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP021,東洋大姫路,9,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP006,花咲徳栄,1,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP006,花咲徳栄,2,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP006,花咲徳栄,3,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP006,花咲徳栄,4,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP007,S26SP006,花咲徳栄,5,0,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
